ID,food_insecurity_risk
ID_Z1OV5V,0
ID_XA8MKU,0
ID_1GPT49,0
ID_PUSRZA,0
ID_EQOXBE,0
ID_1P5EI7,0
ID_K8EVBR,0
ID_X8U73N,0
ID_KBF2E6,0
ID_WPRLPG,0
ID_7GVLHW,0
ID_XPBRRN,0
ID_TYLVVL,0
ID_D3IIA3,0
ID_8K0HF3,0
ID_6C0OX8,0
ID_7CZR7X,0
ID_WQF1TT,0
ID_IMLYTG,0
ID_VKYMZL,0
ID_O9LNDC,0
ID_MB4BLD,0
ID_QLQ1WM,0
ID_FPT00E,0
ID_2QMK3U,0
ID_HK6HMR,0
ID_TIEHC2,0
ID_YIX79P,0
ID_BRTG6C,0
ID_2RRA3P,0
ID_LCGQLL,0
ID_X70R3S,0
ID_DUDPRK,0
ID_5R0PNF,0
ID_3VCLHO,0
ID_VU5WP8,0
ID_MVU2YE,0
ID_TTRUTI,0
ID_7ZFZTO,0
ID_S6GKJ7,0
ID_1K16Y0,0
ID_UPU536,0
ID_LZMS80,0
ID_4BFPV0,0
ID_V6443K,0
ID_TX6QCA,0
ID_LUK873,0
ID_22HR5S,0
ID_OSC0WH,0
ID_S14ECI,0
ID_9RTJ6U,0
ID_5A2X54,0
ID_U44QUN,0
ID_F57VH2,0
ID_D3LS11,0
ID_Q01YHY,0
ID_A0EIVA,0
ID_8T49LX,0
ID_LE0BCT,0
ID_324ZBL,0
ID_5KZHCM,0
ID_Z2RNO6,0
ID_CYSVUH,0
ID_IWZWT9,0
ID_94PN8Q,0
ID_IX43IR,0
ID_GM5DKO,0
ID_YBESIR,0
ID_Q4TP1N,0
ID_A6KSNJ,0
ID_CZOBD9,0
ID_Q8WHT3,0
ID_7OJ98B,0
ID_YTE9AF,0
ID_PP7SDW,0
ID_YQTUV2,0
ID_7UUBRJ,0
ID_174WYA,0
ID_GS1KWQ,0
ID_JL8EZ3,0
ID_1T6ERQ,0
ID_5A8389,0
ID_214311,0
ID_BKHSSC,0
ID_RTP08I,0
ID_IO1Q3D,0
ID_ZVWE8G,0
ID_358GEE,0
ID_JGBJXG,0
ID_56W0MQ,0
ID_A1CCYY,0
ID_4JUFN2,0
ID_4XCRWD,0
ID_WF1TQV,0
ID_0R095U,0
ID_HGCRKF,0
ID_KJ6XHP,0
ID_D3BGNP,0
ID_YHRFOZ,0
ID_G7FBV2,0
ID_I6OEUH,0
ID_8VAQVB,0
ID_DIM28A,0
ID_QWD1BQ,0
ID_FDTNBS,0
ID_5XRGA3,0
ID_L71029,0
ID_DG38RA,0
ID_JIB931,0
ID_K26GFX,0
ID_AMHV1F,0
ID_070VK3,0
ID_2RGWHG,0
ID_XMD7QC,0
ID_Q3ZA8E,0
ID_83MTEB,0
ID_DUD8T7,0
ID_D2TO1K,0
ID_VTORP5,0
ID_9YEQ96,0
ID_SJQA0P,0
ID_X99DBK,0
ID_4EPBO0,0
ID_1717HV,0
ID_0EHLIT,0
ID_SJ8BFI,0
ID_8OJGZA,0
ID_CF0R7F,0
ID_A6AHHC,0
ID_ASIKZO,0
ID_IEASU2,0
ID_9EE2A8,0
ID_4N1W3E,0
ID_R70UT1,0
ID_00WNT0,0
ID_K9875T,0
ID_RJIB73,0
ID_9SYIED,0
ID_48CD5L,0
ID_XTNJS1,0
ID_8L9GJ4,0
ID_ANLIOB,0
ID_L7VJUZ,0
ID_5PFBCE,0
ID_5Z3ZTD,0
ID_S7XSV1,0
ID_8F6FTS,0
ID_CJLEI6,0
ID_WGL8I9,0
ID_AKFD18,0
ID_TLTY7W,0
ID_29MAX6,0
ID_EBQGBP,0
ID_ADUSQB,0
ID_00G9E0,0
ID_7PMEXJ,0
ID_TNRP1I,0
ID_3661L0,0
ID_8KGFP9,0
ID_4K3AWL,0
ID_AR0WH0,0
ID_RFIUPR,0
ID_OG710E,0
ID_Q8O9S4,0
ID_ZNMZOF,0
ID_E98WP9,0
ID_4P4JWR,0
ID_3XUXNB,0
ID_9DSSRK,0
ID_FI53LL,0
ID_P0NFDD,0
ID_2PJ0MM,0
ID_UG8XJK,0
ID_31DZRH,0
ID_TTQAYI,0
ID_IY2S53,0
ID_0TJ2T9,0
ID_O5A439,0
ID_GF5LXK,0
ID_2G5EOL,0
ID_0TA8RD,0
ID_05N9HC,0
ID_ZDQ3W6,0
ID_BDJ7H7,0
ID_REDY0V,0
ID_QXO2DW,0
ID_N717YW,0
ID_1BSDX4,0
ID_W3LNAE,0
ID_HPITZA,0
ID_7UY4SA,0
ID_EQ1ZQ8,0
ID_DAYDW9,0
ID_F6Y5V9,0
ID_JREHMI,0
ID_QP56A2,0
ID_TYZNM5,0
ID_SAXYK2,0
ID_E58F3O,0
ID_B9V1T4,0
ID_JXA2YM,0
ID_PYI46N,0
ID_05FL04,0
ID_63NA7H,0
ID_N98X16,0
ID_F4ZZW5,0
ID_UK4SHA,0
ID_60V33L,0
ID_IFNCRN,0
ID_3TNKZI,0
ID_Y75ITD,0
ID_L35JRJ,0
ID_9R3VP8,0
ID_LIM06E,0
ID_TCQR3E,0
ID_V1RDNF,0
ID_4X13QI,0
ID_NF2P09,0
ID_1PQFMP,0
ID_AH3QN2,0
ID_1R91R0,0
ID_HRLIAG,0
ID_P34SLQ,0
ID_GBUL1O,0
ID_T96GSK,0
ID_BOJAXN,0
ID_HRC4HM,0
ID_08OPEV,0
ID_HTZ4VO,0
ID_YBJ7SO,0
ID_YGY21J,0
ID_MAS41R,0
ID_U08L4P,0
ID_JAGXLQ,0
