ID,state,county,population,start_year,start_month,prior_period_ipc_phase,prior_period_phase3plus_pct,prior_year_cereal_production_tonnes,prior_year_cereal_gap_tonnes,food_insecurity_risk
ID_XAJI0Y,Abyei,Abyei,69160.0,2023,12,Crisis,49.2,12642.311151079137,-4404.321582733813,1
ID_6DPBHS,Abyei,Abyei,70246.0,2024,4,Crisis,30.4,12642.311151079137,-4404.321582733813,1
ID_AHXTHV,Abyei,Abyei,70246.0,2024,9,Crisis,55.5,12642.311151079137,-4404.321582733813,1
ID_3A3ZMF,Central Equatoria,Juba,492966.0,2014,10,Stressed,15.0,19333.526315789477,-44684.97368421053,0
ID_8MDD4V,Central Equatoria,Juba,501659.0,2015,1,Stressed,10.1,19333.526315789477,-44684.97368421053,0
ID_30T9NT,Central Equatoria,Juba,501659.0,2015,4,Stressed,15.0,19333.526315789477,-44684.97368421053,0
ID_3W5UZB,Central Equatoria,Juba,501659.0,2015,5,Stressed,15.0,19333.526315789477,-44684.97368421053,0
ID_IKCIDK,Central Equatoria,Juba,501659.0,2015,8,Stressed,15.0,19333.526315789477,-44684.97368421053,0
ID_WNNHJ7,Central Equatoria,Juba,501659.0,2015,10,Stressed,15.0,19333.526315789477,-44684.97368421053,0
ID_XVG0FN,Central Equatoria,Juba,510352.0,2016,1,Stressed,10.0,14782.0,-55967.0,0
ID_9XUY41,Central Equatoria,Juba,510352.0,2016,4,Stressed,5.1,14782.0,-55967.0,0
ID_IBLJH7,Central Equatoria,Juba,510352.0,2016,5,Stressed,15.1,14782.0,-55967.0,0
ID_5LXO6Q,Central Equatoria,Juba,510352.0,2016,8,Stressed,15.1,14782.0,-55967.0,1
ID_JIUJV6,Central Equatoria,Juba,510352.0,2016,10,Crisis,25.1,14782.0,-55967.0,1
ID_OH9SDB,Central Equatoria,Juba,450985.0,2017,1,Crisis,20.0,18524.0,-58854.0,1
ID_DW2PCN,Central Equatoria,Juba,450985.0,2017,2,Crisis,23.9,18524.0,-58854.0,1
ID_9T84AZ,Central Equatoria,Juba,519046.0,2017,5,Crisis,30.2,18524.0,-58854.0,1
ID_YTJXEP,Central Equatoria,Juba,519046.0,2017,6,Crisis,35.1,18524.0,-58854.0,1
ID_Q85JSG,Central Equatoria,Juba,381092.0,2017,9,Crisis,40.1,18524.0,-58854.0,1
ID_65KXVF,Central Equatoria,Juba,381092.0,2017,10,Crisis,49.9,18524.0,-58854.0,1
ID_1T2TAL,Central Equatoria,Juba,392525.0,2018,1,Crisis,29.9,14352.0,-40602.0,1
ID_A753LC,Central Equatoria,Juba,392525.0,2018,2,Crisis,45.1,14352.0,-40602.0,1
ID_58DRC1,Central Equatoria,Juba,392525.0,2018,5,Crisis,55.0,14352.0,-40602.0,1
ID_1ERTJ5,Central Equatoria,Juba,392525.0,2018,9,Crisis,60.1,14352.0,-40602.0,1
ID_PHT0HL,Central Equatoria,Juba,392525.0,2018,10,Crisis,50.2,14352.0,-40602.0,1
ID_9XPSEI,Central Equatoria,Juba,407323.0,2019,1,Crisis,30.1,11087.0,-45515.0,1
ID_MVIHCW,Central Equatoria,Juba,499538.0,2019,8,Crisis,25.0,11087.0,-45515.0,1
ID_I64CIY,Central Equatoria,Juba,499538.0,2019,9,Crisis,25.0,11087.0,-45515.0,1
ID_HE7UR2,Central Equatoria,Juba,499538.0,2020,1,Crisis,20.0,18408.0,-40328.0,1
ID_3GDPPQ,Central Equatoria,Juba,507180.0,2020,1,Crisis,40.0,18408.0,-40328.0,1
ID_0Y9DOM,Central Equatoria,Juba,499538.0,2020,2,Crisis,19.9,18408.0,-40328.0,1
ID_5IGQPK,Central Equatoria,Juba,499538.0,2020,5,Crisis,45.0,18408.0,-40328.0,1
ID_I7P5TB,Central Equatoria,Juba,522707.0,2022,2,Crisis,50.0,18960.0,6605.0,1
ID_94874F,Central Equatoria,Juba,522707.0,2022,4,Crisis,49.9,18960.0,6605.0,1
ID_RHOCN9,Central Equatoria,Juba,523700.0,2022,10,Crisis,59.9,18960.0,6605.0,1
ID_J2QP89,Central Equatoria,Juba,523700.0,2022,12,Crisis,44.9,18960.0,6605.0,1
ID_UZFK8U,Central Equatoria,Juba,523700.0,2023,4,Crisis,34.9,20953.0,-43230.0,1
ID_T0CVS4,Central Equatoria,Juba,690920.0,2023,9,Crisis,55.0,20953.0,-43230.0,1
ID_F8CGVY,Central Equatoria,Juba,690920.0,2023,12,Crisis,50.1,20953.0,-43230.0,1
ID_IE6IVW,Central Equatoria,Juba,690920.0,2024,4,Crisis,30.0,29143.0,-70488.0,1
ID_PVS7HZ,Central Equatoria,Juba,539411.0,2024,9,Crisis,55.0,29143.0,-70488.0,1
ID_IOYKL1,Central Equatoria,Juba,494684.0,2024,12,Crisis,50.1,29143.0,-70488.0,1
ID_CQ99CH,Central Equatoria,Juba,502326.0,2025,4,Crisis,45.1,27933.0,-49851.0,1
ID_J755NF,Central Equatoria,Kajo Keji,265385.0,2014,10,Minimal,0.0,22843.84210526316,1447.7105263157894,0
ID_4ZW9XA,Central Equatoria,Kajo Keji,270234.0,2015,1,Minimal,0.0,22843.84210526316,1447.7105263157894,0
ID_3KX7EE,Central Equatoria,Kajo Keji,270234.0,2015,4,Minimal,5.2,22843.84210526316,1447.7105263157894,0
ID_DTJVZH,Central Equatoria,Kajo Keji,270234.0,2015,5,Minimal,1.1,22843.84210526316,1447.7105263157894,0
ID_WJR64D,Central Equatoria,Kajo Keji,270234.0,2015,8,Minimal,5.2,22843.84210526316,1447.7105263157894,0
ID_PJA1WJ,Central Equatoria,Kajo Keji,270234.0,2015,10,Stressed,5.2,22843.84210526316,1447.7105263157894,0
ID_0TPAC5,Central Equatoria,Kajo Keji,275083.0,2016,1,Minimal,0.0,52732.0,19290.0,0
ID_6T4UFE,Central Equatoria,Kajo Keji,275083.0,2016,4,Minimal,0.0,52732.0,19290.0,0
ID_L6246H,Central Equatoria,Kajo Keji,275083.0,2016,5,Stressed,14.9,52732.0,19290.0,0
ID_ID25OW,Central Equatoria,Kajo Keji,275083.0,2016,8,Minimal,5.1,52732.0,19290.0,0
ID_F75935,Central Equatoria,Kajo Keji,275083.0,2016,10,Stressed,14.9,52732.0,19290.0,0
ID_A0L725,Central Equatoria,Kajo Keji,243225.0,2017,1,Minimal,5.1,46518.0,13210.0,0
ID_3J2D54,Central Equatoria,Kajo Keji,243225.0,2017,2,Stressed,17.7,46518.0,13210.0,0
ID_I3QK2I,Central Equatoria,Kajo Keji,279931.0,2017,5,Stressed,18.9,46518.0,13210.0,1
ID_AGL58K,Central Equatoria,Kajo Keji,279931.0,2017,6,Crisis,50.0,46518.0,13210.0,1
ID_XO9T7E,Central Equatoria,Kajo Keji,110083.0,2017,9,Emergency,60.0,46518.0,13210.0,1
ID_8G8JDP,Central Equatoria,Kajo Keji,110083.0,2017,10,Emergency,65.4,46518.0,13210.0,1
ID_0LVSNU,Central Equatoria,Kajo Keji,105783.0,2018,1,Emergency,69.9,12041.0,-1565.0,1
ID_JZA7TZ,Central Equatoria,Kajo Keji,105783.0,2018,2,Crisis,50.1,12041.0,-1565.0,1
ID_0YNCXL,Central Equatoria,Kajo Keji,105783.0,2018,5,Crisis,70.0,12041.0,-1565.0,1
ID_L4ZKLO,Central Equatoria,Kajo Keji,105783.0,2018,9,Crisis,74.7,12041.0,-1565.0,1
ID_OKEP7Y,Central Equatoria,Kajo Keji,105783.0,2018,10,Emergency,65.2,12041.0,-1565.0,1
ID_6WKTAK,Central Equatoria,Kajo Keji,109771.0,2019,1,Crisis,65.2,6872.0,-6203.0,1
ID_PUXQPH,Central Equatoria,Kajo Keji,221902.0,2019,8,Crisis,60.1,6872.0,-6203.0,0
